Communes	IndiceRichesse	Chomage	Jeune	Vieux	Superficie	MetreCarre	Province	Ecoles
Gerpinnes	115	11.41	21.16	26.55	47.1	68	Hainaut	9
Gesves	103	10.04	27.91	17.84	64.92	31	Namur	4
Gouvy	82	10.46	27.33	21.23	165.11	20	Luxembourg	7
GraceHollogne	87	18.79	23.79	22.72	34.24	48	Liege	18
GrezDoiceau	123	9.45	25.03	22.82	55.44	65	BrabantWallon	6
Habay	106	8.23	29.13	17.12	103.64	63	Luxembourg	10
Hamois	97	9.63	27.63	18.48	76.42	30	Namur	7
HamsurHeureNalinnes	117	9.98	21.98	25.78	45.68	68	Hainaut	9
Hannut	106	11.44	24.62	22.54	86.53	41	Liege	11
Hastiere	83	24.08	20.66	28.77	56.46	21	Namur	6
Havelange	90	10.32	27.57	21.26	104.73	21	Namur	8
Helecine	109	10.16	24.2	23.11	16.62	56	BrabantWallon	2
Hensies	84	19.74	23.68	21.75	25.99	37	Hainaut	6
Heron	101	11.62	26.68	17.74	38.32	36	Liege	4
Herstal	83	21.31	23.83	23.66	23.54	28	Liege	22
Herve	100	10.8	24.62	21.7	56.84	68	Liege	13
Honnelles	97	13.87	22.83	23.18	43.65	25	Hainaut	7
Hotton	86	12.79	27.48	19.42	57.32	36	Luxembourg	7
Houffalize	87	10.42	24.28	22.28	166.58	23	Luxembourg	8
Houyet	89	13.08	23.59	23.66	122.31	28	Namur	6
Huy	94	21.17	22.58	23.58	47.74	24	Liege	12
Incourt	114	9.08	26.71	20.24	38.79	75	BrabantWallon	2
Ittre	112	9.85	24.67	21.31	34.92	101	BrabantWallon	5
Jalhay	106	8.45	25.62	20.86	107.75	55	Liege	4
JemeppesurSambre	96	15.4	26.19	20.33	46.8	36	Namur	13
Jodoigne	107	11.4	25.26	22.13	73.31	66	BrabantWallon	11
Juprelle	107	9.6	22.7	22.78	35.36	36	Liege	6
Jurbise	106	8.34	25.24	20.94	57.86	62	Hainaut	5
LaBruyere	116	7.72	26.95	18.81	52.98	68	Namur	8
LaHulpe	121	9.96	24.61	25.2	15.6	122	BrabantWallon	4
LaRocheenArdenne	85	13.28	23.04	25.72	147.52	32	Luxembourg	7
Lasne	138	9.62	25.05	25.01	47.22	97	BrabantWallon	9
Leglise	94	7.26	30	15.58	172.92	40	Luxembourg	7
Lens	98	9.44	25.27	20.78	49.42	32	Hainaut	4
LeRoeulx	104	13.59	23.98	22.51	42.8	73	Hainaut	7
LesBonsVillers	108	12.06	24.69	21.57	42.55	44	Hainaut	8
Lessines	94	13.7	24.44	23.09	72.29	39	Hainaut	17
LeuzeenHainaut	95	13.04	23.08	24.18	73.53	38	Hainaut	15
Libin	94	9.76	25.65	21.59	139.72	22	Luxembourg	6
LibramontChevigny	96	8.83	26.34	18.66	177.86	29	Luxembourg	13
Lierneux	92	9.53	22.47	23.55	92.08	19	Liege	5
Limbourg	92	11.87	26.14	21.16	24.63	31	Liege	6
Lincent	107	8.2	25	20.8	14.75	54	Liege	2
Lobbes	101	11.82	23.21	21.64	32.08	52	Hainaut	6
Malmedy	95	12.08	23.9	24.84	99.96	31	Liege	11
Manage	85	20.6	24.74	21.02	19.6	75	Hainaut	15
Manhay	93	10.34	25.5	20.25	119.81	23	Luxembourg	7
MarcheenFamenne	91	12.99	25.4	20.33	121.4	33	Luxembourg	14
Marchin	100	12.43	25.29	19.49	30	32	Liege	4
Martelange	94	13.27	25.59	20.21	29.67	61	Luxembourg	2
MeixdevantVirton	92	9.88	25.2	22.61	54.2	38	Luxembourg	5
MerbesleChateau	83	16.4	26.38	19.26	30.24	38	Hainaut	5
Messancy	120	8.2	25.45	19.55	52.43	55	Luxembourg	9
Mettet	94	12.92	25.66	20.13	116.78	53	Namur	13
Modave	106	9.44	25.92	18.07	40.37	52	Liege	5
Momignies	75	20.1	25.93	23.1	85.58	25	Hainaut	7
MontdelEnclus	93	7.4	25.22	21.29	26.93	41	Hainaut	1
MontignyleTilleul	118	11.39	20.39	28.29	15.1	69	Hainaut	8
MontSaintGuibert	117	8.74	27.15	18.43	18.63	70	BrabantWallon	3
Morlanwelz	87	19.94	23.72	22.9	20.26	46	Hainaut	13
Musson	96	10.05	28.29	19.44	34.81	45	Luxembourg	5
Nandrin	127	8.04	23.46	21.94	35.9	38	Liege	3
Nassogne	91	11.26	27.16	20.2	111.96	29	Luxembourg	11
Neufchateau	91	11.34	27.15	19.21	113.79	22	Luxembourg	9
Neupre	128	8.22	22.25	26.95	31.69	67	Liege	7
Nivelles	112	13.25	22.2	24.67	60.6	61	BrabantWallon	13
Ohey	93	10.95	26.78	18.27	56.62	40	Namur	4
Olne	119	8.74	24.27	21.16	15.99	35	Liege	3
Onhaye	92	14.51	25.3	22.28	65.53	26	Namur	4
Oreye	108	10.93	24.3	21.16	19.64	62	Liege	3
OrpJauche	107	9.39	25.97	21.61	50.5	61	BrabantWallon	8
OttigniesLouvainlaNeuve	107	12.39	24.23	18.8	32.96	129	BrabantWallon	16
Ouffet	98	11.19	24.13	21.33	40.22	34	Liege	3
Oupeye	97	15.61	23.19	24.84	36.11	63	Liege	18
Paliseul	86	10.36	25.51	23.14	112.96	15	Luxembourg	13
Pepinster	92	13.63	27.19	20.68	24.79	34	Liege	9
Peruwelz	84	17.28	24.8	21.86	60.56	33	Hainaut	13
Perwez	111	8.06	26.38	20.08	50.81	51	BrabantWallon	8
Philippeville	90	16.71	22.88	24.14	156.71	29	Namur	11
Plombieres	90	10.7	23.33	21.89	53.18	29	Liege	8
PontaCelles	104	11.72	24.77	21.45	55.73	83	Hainaut	16
Profondeville	106	10.4	25.6	20.98	50.34	42	Namur	7
Quaregnon	77	25.38	24.34	22.39	11.08	31	Hainaut	13
Quevy	104	10.55	22.97	23.46	65.16	35	Hainaut	11
Ramillies	105	9.83	27.93	19.82	48.68	40	BrabantWallon	4
Rebecq	103	12.07	25.87	20.18	39.08	42	BrabantWallon	6
Remicourt	108	9.29	24.36	21.28	22.58	38	Liege	4
Rendeux	84	11.23	25.48	23.55	68.83	17	Luxembourg	2
Rixensart	124	10.24	24.19	25.18	17.54	233	BrabantWallon	10
Rochefort	89	14.41	24.98	22.97	165.27	30	Namur	16
Rumes	92	10.95	22.41	22.99	23.72	48	Hainaut	5
SainteOde	89	10.12	25.08	22.33	97.86	18	Luxembourg	5
SaintGeorgessurMeuse	94	14.71	24.06	23.02	20.9	35	Liege	4
SaintGhislain	94	16.99	22.54	24.61	70.18	42	Hainaut	23
SaintHubert	91	12.87	23.61	25.11	111.16	28	Luxembourg	8
SaintLeger	108	9.15	26.92	18.12	35.86	61	Luxembourg	4
SaintNicolas	79	23.25	23.34	23.79	6.84	57	Liege	16
Sambreville	90	19.49	23.75	23.34	34.2	27	Namur	19
Seneffe	105	13.85	25.49	21.71	62.77	55	Hainaut	8
Silly	110	8.9	25.88	21.35	67.68	44	Hainaut	7
SivryRance	86	16.17	24.57	22.43	72.97	27	Hainaut	6
Soignies	96	13.15	24.13	22.55	110.3	49	Hainaut	19
Sombreffe	101	10.98	27.33	19.82	35.78	34	Namur	6
SommeLeuze	90	11.66	24.39	22.35	95.09	25	Namur	4
Soumagne	98	12.59	24.98	21.53	27.14	70	Liege	15
Spa	96	17.78	21.18	28.72	39.85	47	Liege	7
Sprimont	111	10.61	25.08	21.24	74.28	43	Liege	11
Stavelot	92	12.51	23.87	23.98	85.07	39	Liege	6
Stoumont	99	9.24	24.34	23.22	108.45	23	Liege	6
Tellin	92	12.66	25.9	23.18	56.64	27	Luxembourg	3
Tenneville	90	8.21	24.61	20.82	91.81	27	Luxembourg	2
Theux	104	9.92	25.64	21.19	83.36	39	Liege	10
ThimisterClermont	102	8.28	27.73	16.97	28.69	38	Liege	5
Thuin	101	13.06	22.26	24.75	76.17	55	Hainaut	10
Tinlot	106	8.5	26.94	18.53	37.12	39	Liege	2
Tintigny	92	7.94	27.82	19.81	81.79	31	Luxembourg	6
TroisPonts	90	12.31	25.08	22.23	68.9	30	Liege	4
Trooz	97	14.49	24.5	21.28	24.2	32	Liege	8
Tubize	94	14.38	25.56	21.62	32.66	90	BrabantWallon	14
VauxsurSûre	88	7.12	30.11	16.27	135.87	23	Luxembourg	9
Verlaine	105	8.18	26.23	18.34	24.21	41	Liege	2
Vielsalm	90	11.37	24.77	23.12	139.76	18	Luxembourg	11
VillerslaVille	111	10.04	26.45	19.25	47.45	60	BrabantWallon	5
VillersleBouillet	102	12.07	26.57	18.23	32.71	27	Liege	5
Viroinval	83	22.86	22.65	26.55	120.9	15	Namur	11
Virton	93	15.65	25.5	22.89	94.49	28	Luxembourg	9
Vise	92	16.76	23.65	23.88	27.99	67	Liege	16
VressesurSemois	81	17.02	22.05	31.05	101.04	15	Namur	8
Waimes 	90	8.63	25.53	21.66	96.93	25	Liege	10
Walcourt	98	12.57	23.82	22.19	123.18	53	Namur	14
Walhain	121	8.17	27.75	18.68	37.94	70	BrabantWallon	4
Wanze	102	11.89	24.83	22.81	43.95	42	Liege	7
Waremme	106	12.24	21.08	26.15	31.04	61	Liege	13
Waterloo	119	10.85	24.61	26.53	21.03	211	BrabantWallon	11
Wavre	113	11.84	23.4	24.81	41.8	83	BrabantWallon	18
Welkenraedt	96	10.47	23.64	21.76	24.47	43	Liege	4
Yvoir	103	10.84	25.72	21.17	56.84	40	Namur	11
