"glucides_g"	"proteines_g"	"matiere_grasse_g"	"marque"
10.3	4.7	6.3	"NatureCrémeux"
10.7	5.8	3.5	"LactoDelice"
11.9	5.2	3.7	"LactoDelice"
12.2	5.3	3.7	"LactoDelice"
13.2	3.5	4.5	"LactoDelice"
10.1	3.1	6.2	"NatureCrémeux"
6.2	4.5	1.8	"Yogusto"
9.7	3	5.7	"NatureCrémeux"
9.5	4.4	2	"Yogusto"
10.9	4.2	3.6	"LactoDelice"
11.8	4.1	6.6	"NatureCrémeux"
11.7	4.4	4	"LactoDelice"
8.3	2.1	5	"NatureCrémeux"
12.9	3.1	4.1	"LactoDelice"
6.1	3.9	1.4	"Yogusto"
9.1	4.5	2	"Yogusto"
10.8	4.3	2.8	"Yogusto"
10.1	3.9	3.3	"LactoDelice"
11.1	3.8	6.1	"NatureCrémeux"
11	5.5	2.7	"Yogusto"
9.3	4.7	5.4	"NatureCrémeux"
12.7	4	4.7	"LactoDelice"
12.7	3.8	4	"LactoDelice"
9.4	1.6	2.3	"Yogusto"
10.2	4	3.1	"LactoDelice"
10.6	4.3	6.3	"NatureCrémeux"
9.1	5.6	2.4	"Yogusto"
10.4	4.2	6	"NatureCrémeux"
7.5	3.3	2.4	"Yogusto"
9	4.8	1.9	"Yogusto"
11.6	4.1	3.8	"LactoDelice"
6.8	3.8	2	"Yogusto"
9.6	2.9	5.6	"NatureCrémeux"
11.1	4.4	3.9	"LactoDelice"
9.9	4.9	5.7	"NatureCrémeux"
8.5	5	2.7	"Yogusto"
12.6	3.9	4.3	"LactoDelice"
11.9	3.2	3.6	"LactoDelice"
8.7	5.6	2.4	"Yogusto"
8.4	5.3	5.6	"NatureCrémeux"
12.3	5.6	4.6	"LactoDelice"
12.2	2.4	4.2	"LactoDelice"
8.3	2.6	2.2	"Yogusto"
10.6	3.7	6.2	"NatureCrémeux"
7.6	4.3	2.8	"Yogusto"
9.9	3.1	5.8	"NatureCrémeux"
10.1	2.7	2.8	"Yogusto"
12.7	2.6	3.7	"LactoDelice"
10.7	4.2	6.1	"NatureCrémeux"
10	4.1	6.4	"NatureCrémeux"
9.6	4.6	5.9	"NatureCrémeux"
12.8	3.2	3.7	"LactoDelice"
12.6	4.1	4.6	"LactoDelice"
6.2	3.3	1.7	"Yogusto"
13	4.7	4.3	"LactoDelice"
12.2	3	3.5	"LactoDelice"
9.5	3.9	5.5	"NatureCrémeux"
10.9	4.7	6.7	"NatureCrémeux"
8.2	5.6	1.8	"Yogusto"
10.3	4.2	3.5	"LactoDelice"
8.6	2.4	2	"Yogusto"
11.8	2.7	3.3	"LactoDelice"
11.4	4.4	4.1	"LactoDelice"
10.9	4	6.2	"NatureCrémeux"
7.5	4.8	1.4	"Yogusto"
12.9	4.1	4.4	"LactoDelice"
6.9	4.4	1.8	"Yogusto"
12.8	4	4.3	"LactoDelice"
11.7	3.8	4.2	"LactoDelice"
11.9	3.1	3.8	"LactoDelice"
13.2	3.5	4.7	"LactoDelice"
11	2.9	3.6	"LactoDelice"
13.8	4	4.9	"LactoDelice"
9.8	5.2	2.8	"Yogusto"
10.4	3.9	3.7	"LactoDelice"
8	5.6	2.1	"Yogusto"
11	4	3.8	"LactoDelice"
9.7	3.5	3.6	"LactoDelice"
13.6	3.4	3.2	"LactoDelice"
7.5	1.8	2.4	"Yogusto"
9.4	5.1	5.9	"NatureCrémeux"
13.7	4.3	3.9	"LactoDelice"
11.3	4.7	3.5	"LactoDelice"
6.8	3.1	1.8	"Yogusto"
12.4	3.7	3.9	"LactoDelice"
7.7	5.8	1.8	"Yogusto"
10.4	4.8	3.5	"LactoDelice"
6.7	4.9	1.4	"Yogusto"
11.2	4.6	3.8	"LactoDelice"
14.4	3.1	5	"LactoDelice"
6.8	3.1	1.7	"Yogusto"
5.8	3.7	2.1	"Yogusto"
8.4	5.3	2.2	"Yogusto"
8.2	4	2.4	"Yogusto"
12.7	4.1	4.8	"LactoDelice"
13.5	4.3	4.5	"LactoDelice"
12.9	4	4.5	"LactoDelice"
11.5	4.6	6.6	"NatureCrémeux"
13.2	2.9	4.2	"LactoDelice"
8.2	4.5	5.8	"NatureCrémeux"
11.5	2.5	6.3	"NatureCrémeux"
6.9	5.4	1.8	"Yogusto"
10.8	3.2	3.5	"LactoDelice"
10.7	3.6	5.8	"NatureCrémeux"
14.1	5	4.7	"LactoDelice"
6.2	4.1	1.4	"Yogusto"
8.2	4.1	3.1	"Yogusto"
8.5	4.9	5.6	"NatureCrémeux"
10	3.7	3.5	"LactoDelice"
10.7	5.4	3.6	"LactoDelice"
8.5	4.1	2.3	"Yogusto"
9.9	4.7	5.2	"NatureCrémeux"
10.2	4.5	6.2	"NatureCrémeux"
12.8	4.9	4.3	"LactoDelice"
13	5	5	"LactoDelice"
8.6	2.1	2.3	"Yogusto"
13	3.9	4.4	"LactoDelice"
11.2	3.2	3.9	"LactoDelice"
7	4	1.4	"Yogusto"
11.7	2.4	3.2	"LactoDelice"
9	3.3	2.2	"Yogusto"
7.5	4	1.8	"Yogusto"
9.5	4.8	3	"LactoDelice"
11.2	2.4	6.5	"NatureCrémeux"
13.4	3.7	4.6	"LactoDelice"
8.4	3	5.1	"NatureCrémeux"
10.1	5.8	6.5	"NatureCrémeux"
10.2	3.8	2.6	"Yogusto"
11.5	5.7	4	"LactoDelice"
7.6	3.1	5	"NatureCrémeux"
10.4	4.9	3.7	"LactoDelice"
9.5	4.3	2.1	"Yogusto"
13.5	4.6	4.2	"LactoDelice"
11.2	3.5	3.4	"LactoDelice"
12.2	2.7	3.8	"LactoDelice"
11.1	4.6	3.6	"LactoDelice"
10.7	3.9	3.1	"LactoDelice"
10.1	6	6.4	"NatureCrémeux"
14.4	3.5	4.6	"LactoDelice"
5.2	2.9	1	"Yogusto"
10.8	6.2	4.3	"LactoDelice"
12	4.4	3.8	"LactoDelice"
13.1	3.7	3.9	"LactoDelice"
11.3	3.4	6.8	"NatureCrémeux"
12.5	3.9	3.9	"LactoDelice"
11.8	3	3.4	"LactoDelice"
7.8	4.3	1.9	"Yogusto"
12.2	5.6	4.6	"LactoDelice"
7.4	3.7	2.2	"Yogusto"
10	1.3	6	"NatureCrémeux"
9.7	5.5	6.1	"NatureCrémeux"
11.3	5.2	3.6	"LactoDelice"
11.7	3.4	6.9	"NatureCrémeux"
13.3	4	4.5	"LactoDelice"
5.2	4.2	1.3	"Yogusto"
7.3	2.4	1.9	"Yogusto"
10.2	4.4	2.2	"Yogusto"
5.2	3.6	1.2	"Yogusto"
8.3	4	5.5	"NatureCrémeux"
9.9	3	3.6	"LactoDelice"
11	4.4	3.4	"LactoDelice"
7.7	3.2	1.5	"Yogusto"
10.6	4.6	3.8	"LactoDelice"
9.7	5.1	5.6	"NatureCrémeux"
13.8	3.4	5.4	"LactoDelice"
9.9	3.2	2.9	"LactoDelice"
10.8	2.8	3.6	"LactoDelice"
4.8	2	1	"Yogusto"
10.3	4.4	3.4	"LactoDelice"
9.6	3.6	5.9	"NatureCrémeux"
11.1	4.2	3.5	"LactoDelice"
9	4.7	2.2	"Yogusto"
10.2	4.3	5.6	"NatureCrémeux"
11.9	1.9	3.6	"LactoDelice"
9.1	3.1	2.4	"Yogusto"
10.7	3	5.9	"NatureCrémeux"
10.8	5.2	3.5	"LactoDelice"
10.9	3.7	3.2	"LactoDelice"
7.2	4.2	1.8	"Yogusto"
9.3	2.7	2.8	"Yogusto"
8.6	3.6	5.3	"NatureCrémeux"
10.7	2.7	6.8	"NatureCrémeux"
7.5	3.3	1.9	"Yogusto"
9.2	4.9	5.4	"NatureCrémeux"
6.6	4.2	1.1	"Yogusto"
9.2	5	2.7	"Yogusto"
11.4	3.6	3.6	"LactoDelice"
11.7	4.8	4.3	"LactoDelice"
11.2	4.3	5.9	"NatureCrémeux"
8.5	3.3	1.9	"Yogusto"
12.6	3.8	3.9	"LactoDelice"
9.6	3.2	5.2	"NatureCrémeux"
5.1	2.2	1.3	"Yogusto"
8.5	5.1	2.1	"Yogusto"
11.3	3.7	3.3	"LactoDelice"
7	4.7	1.8	"Yogusto"
11.4	3.6	3.8	"LactoDelice"
8.1	4.4	2.8	"Yogusto"
6.3	4.6	1.8	"Yogusto"
10.4	5.8	2.6	"Yogusto"
12.5	4.9	4.3	"LactoDelice"
11.6	5.1	4.1	"LactoDelice"
11.7	5	3.1	"Yogusto"
11.6	5.2	3.7	"LactoDelice"
11.6	3.7	3.7	"LactoDelice"
4	3.5	0.5	"Yogusto"
13.6	4.7	4.3	"LactoDelice"
8.6	3.7	2.1	"Yogusto"
11.9	6.4	4.1	"LactoDelice"
6.8	4.9	1.6	"Yogusto"
11.9	2.5	3.8	"LactoDelice"
10.5	4.1	6.4	"NatureCrémeux"
10.6	4.2	6.2	"NatureCrémeux"
11.1	5.7	4	"LactoDelice"
9.6	6.3	5.5	"NatureCrémeux"
11.9	3.6	4.3	"LactoDelice"
7.5	4.1	1.1	"Yogusto"
9.1	3.3	5.7	"NatureCrémeux"
13.2	5.1	3.9	"LactoDelice"
11	4.8	3.4	"LactoDelice"
10.4	4.7	3.1	"LactoDelice"
11.6	4.8	4.2	"LactoDelice"
11.1	4.2	3.7	"LactoDelice"
9.1	4.6	5.2	"NatureCrémeux"
12.8	5.6	3.4	"LactoDelice"
7.8	3.2	5.1	"NatureCrémeux"
11.9	4.6	4	"LactoDelice"
8.2	5.8	2	"Yogusto"
12.5	4.9	4.6	"LactoDelice"
10.9	2.7	3.6	"LactoDelice"
10.5	3.7	3.2	"LactoDelice"
10.9	3.5	6.6	"NatureCrémeux"
9.7	2.5	6.1	"NatureCrémeux"
9.8	4.1	6.4	"NatureCrémeux"
9.1	3.3	5.6	"NatureCrémeux"
12.4	5.5	4.4	"LactoDelice"
11.6	3.5	6.9	"NatureCrémeux"
8.7	4.2	5.6	"NatureCrémeux"
6.6	3.8	1.4	"Yogusto"
9.8	2.2	5.7	"NatureCrémeux"
11.3	5.6	3.4	"LactoDelice"
12.3	3.6	4	"LactoDelice"
9.6	3.6	5.6	"NatureCrémeux"
12.1	6.1	3.8	"LactoDelice"
13.5	4.8	4.7	"LactoDelice"
10.5	3.5	3.5	"LactoDelice"
11.2	2.1	3.4	"LactoDelice"
13.6	5.2	4.3	"LactoDelice"
9.7	4.2	2.3	"Yogusto"
11.9	2.9	3.5	"LactoDelice"
15.1	4.8	5.3	"LactoDelice"
37.3	4.3	4.8	"LactoDelice"
10.4	5.1	2.5	"Yogusto"
11.1	5.4	4.1	"LactoDelice"
11.1	5.1	3.8	"LactoDelice"
10.7	4	3.7	"LactoDelice"
9.6	3.5	2.8	"Yogusto"
13.3	6	4.4	"LactoDelice"
7.3	5.4	2.3	"Yogusto"
11	3.4	3.6	"LactoDelice"
10.8	4.9	6.3	"NatureCrémeux"
12.3	4.8	4.2	"LactoDelice"
12.2	5.3	3.4	"LactoDelice"
10.9	4.5	3.9	"LactoDelice"
7.1	3.9	2.1	"Yogusto"
9.1	6.2	2	"Yogusto"
12.2	5	4.2	"LactoDelice"
10.4	5.5	6.3	"NatureCrémeux"
10.4	4.2	2.9	"Yogusto"
8.4	3.7	2.1	"Yogusto"
10.7	3.5	2.8	"Yogusto"
13.2	3.5	4.3	"LactoDelice"
10.5	4.5	3.3	"LactoDelice"
8.5	4.2	2	"Yogusto"
7.3	4.1	2.1	"Yogusto"
8.4	5.9	2.3	"Yogusto"
8.1	2.7	5.5	"NatureCrémeux"
9.4	2.9	5.6	"NatureCrémeux"
9.2	3.7	3	"LactoDelice"
6.1	2.8	1.2	"Yogusto"
9.2	2.9	3	"LactoDelice"
10.4	4	3.6	"LactoDelice"
13.4	2.8	4.8	"LactoDelice"
8.7	2.3	5.7	"NatureCrémeux"
11.1	3.3	4	"LactoDelice"
10.9	4	3.1	"LactoDelice"
12.1	4.4	4.4	"LactoDelice"
11.1	5.2	4.1	"LactoDelice"
12.8	3.5	5.2	"LactoDelice"
9.1	4.3	5.4	"NatureCrémeux"
53.2	2.9	4.7	"LactoDelice"
10.8	4.1	3.8	"LactoDelice"
9.6	1.5	6	"NatureCrémeux"
9.2	5.2	5.9	"NatureCrémeux"
11.8	4	3.5	"LactoDelice"
10.5	4.5	5.8	"NatureCrémeux"
10.8	5.2	2.8	"Yogusto"
6.6	5.9	1.5	"Yogusto"
13.9	4.4	4.7	"LactoDelice"
11	4.3	3.9	"LactoDelice"
11	3.4	3.1	"Yogusto"
11.9	5.4	3.9	"LactoDelice"
5.7	3.8	1.2	"Yogusto"
9.7	3.8	5.6	"NatureCrémeux"
13.9	3.5	4.5	"LactoDelice"
8.4	4.2	5.3	"NatureCrémeux"
8.3	3.7	2.5	"Yogusto"
10.5	4.3	3.2	"LactoDelice"
11.6	5.4	4	"LactoDelice"
9.1	3.8	2.3	"Yogusto"
8.7	4.1	6.1	"NatureCrémeux"
10.4	2.7	5.7	"NatureCrémeux"
9.9	4	2.3	"Yogusto"
12.3	4.4	3.7	"LactoDelice"
4.3	3.9	1.5	"Yogusto"
13	4	4.1	"LactoDelice"
7.9	3	2.1	"Yogusto"
11.9	1.2	4.2	"LactoDelice"
10.1	4.2	6.3	"NatureCrémeux"
6.4	2.4	1.4	"Yogusto"
5.4	5	1	"Yogusto"
12.4	2.9	3.7	"Yogusto"
7.9	4.8	2.1	"Yogusto"
10.9	4.1	6.6	"NatureCrémeux"
9.5	4.4	2.7	"Yogusto"
13.3	3.8	4.1	"LactoDelice"
8.9	4.7	5.7	"NatureCrémeux"
7	5.6	1.8	"Yogusto"
10.9	4.6	3.7	"LactoDelice"
5.1	3.3	1.3	"Yogusto"
10.8	4.7	6.4	"NatureCrémeux"
7.6	5.4	2.3	"Yogusto"
9.8	5	6	"NatureCrémeux"
11	2.7	3.6	"LactoDelice"
7.5	4.8	2.4	"Yogusto"
13.1	5.3	4.5	"LactoDelice"
8.6	2.9	1.3	"Yogusto"
6.6	2.9	2	"Yogusto"
8.6	4.8	1.7	"Yogusto"
10.3	3.6	6.2	"NatureCrémeux"
10.5	3.1	6.4	"NatureCrémeux"
9.9	2.2	6.5	"NatureCrémeux"
9.9	4.6	5.8	"NatureCrémeux"
6.8	2.4	1.6	"Yogusto"
6.7	4.7	1.6	"Yogusto"
12.9	5	4.3	"LactoDelice"
7.6	4.5	1.9	"Yogusto"
12.1	3.7	4.3	"LactoDelice"
11.4	4	3.2	"LactoDelice"
13.5	4.9	4	"LactoDelice"
13.8	3.6	4.6	"LactoDelice"
9.5	3.5	1.9	"Yogusto"
11.3	4.1	3.1	"Yogusto"
12.2	4.1	3.9	"LactoDelice"
9.1	4.3	2.5	"Yogusto"
6.1	2.6	1.5	"Yogusto"
12.4	4.6	4.1	"LactoDelice"
8.2	4.5	5.2	"NatureCrémeux"
12.3	4.3	4.2	"LactoDelice"
9	4.9	5.7	"NatureCrémeux"
12.2	4.6	3.9	"LactoDelice"
7.2	6	1.6	"Yogusto"
14.8	1.9	4.3	"LactoDelice"
8.7	5.3	5.4	"NatureCrémeux"
6	3	1.3	"Yogusto"
8.5	4.9	5.7	"NatureCrémeux"
8.3	4.4	5.4	"NatureCrémeux"
10.5	5.3	6.1	"NatureCrémeux"
9.3	3.3	5.7	"NatureCrémeux"
10.4	2.7	3.6	"LactoDelice"
13.6	4.6	4.3	"LactoDelice"
10.3	5	7.1	"NatureCrémeux"
10.9	2.5	4	"LactoDelice"
10.4	4.5	6.5	"NatureCrémeux"
9.5	6.3	6	"NatureCrémeux"
11.6	4.9	7.3	"NatureCrémeux"
10.6	3.2	3.4	"LactoDelice"
9.5	2.3	2.6	"Yogusto"
3.8	2.5	0.8	"Yogusto"
13.1	4.2	4.4	"LactoDelice"
12.2	4.8	4.4	"LactoDelice"
14.8	5.9	5.3	"LactoDelice"
11.6	4.5	6.9	"NatureCrémeux"
